"scientificName","commonNameFr","commonNameEn","category"
"Abies alba","","European Silver Fir","Ornamental"
"Abies concolor","","White Fir","Ornamental"
"Abies fraseri","","Fraser Fir","Ornamental"
"Abies lasiocarpa","","Alpine Fir","Ornamental"
"Abies procera","","Noble Fir","Ornamental"
"Acer davidii","","Snakebark Maple","Ornamental"
"Acer ginnala","","Amur Maple","Ornamental"
"Acer griseum","","Paperbark Maple","Ornamental"
"Acer japonicum","","Fullmoon Maple","Ornamental"
"Acer macrophyllum","","Big Leaf Maple","Ornamental"
"Acer palmatum","","Japanese Maple","Ornamental"
"Acer pensylvanicum","","Moosewood","Ornamental"
"Acer pseudosieboldianum","","Korean Maple","Ornamental"
"Acer rubrum","","Red Maple","Ornamental"
"Acer tegmentosum","","Snakebark Maple","Ornamental"
"Acer triflorum","","Three Flowered Maple","Ornamental"
"Albizia julibrissin","","Mimosa","Ornamental"
"Araucaria araucana","","Monkey Puzzle Tree","Ornamental"
"Arbutus menziesii","","Pacific Madrone*","Ornamental"
"Arbutus unedo","","Strawberry Tree","Fruit"
"Asimina triloba","","Common Paw Paw","Ornamental"
"Betula nigra","","River Birch","Ornamental"
"Betula papyrifera","","Paper Birch","Ornamental"
"Calocedrus decurrens","","California Incense Cedar","Ornamental"
"Carpinus betulus","","European Hornbeam","Ornamental"
"Carpinus japonica","","Japanese Hornbeam","Ornamental"
"Cedrus deodara","","Deodar Cedar","Ornamental"
"Cedrus libani","","Cedar of Lebanon","Ornamental"
"Cercidiphyllum japonicum","","Katsura Tree","Ornamental"
"Cercis canadensis","","Eastern Redbud","Ornamental"
"Chamaecyparis lawsoniana","","Lawson Falsecypress","Ornamental"
"Chionanthus retusus","","Chinese Fringetree","Ornamental"
"Chionanthus virginicus","","White Fringetree","Ornamental"
"Clerodendrum trichotomum","","Harlequin Glorybower","Ornamental"
"Cornus alternifolia","","Pagoda Dogwood","Ornamental"
"Cornus kousa","","Chinese Dogwood","Ornamental"
"Cornus mas","","Cornelian Cherry Dogwood","Ornamental"
"Cryptomeria japonica","","Japanese Cedar","Ornamental"
"Davidia involucrata","","Dove Tree","Ornamental"
"Diospyros kaki","","Japanese Persimmon","Ornamental"
"Diospyros virginiana","","Common Persimmon","Ornamental"
"Drimys lanceolata","","Mountain Pepper","Vegetable"
"Elaeagnus angustifolia","","Russian Olive","Ornamental"
"Elaeocarpus decipiens","","Japanese Blueberry Tree","Ornamental"
"Eriobotrya japonica","","Loquat","Ornamental"
"Euonymus europaeus","","Spindle Tree","Ornamental"
"Ficus carica","","Common Fig","Fruit"
"Franklinia alatamaha","","Franklin Tree","Ornamental"
